section,factor,factor_weight,metric,metric_weight,formula_id,source_priority
Economy / Tax Base,Economy / Tax Base,0.30,Resident Income,0.333,resident_income_ratio,CensusACS|BEA
Economy / Tax Base,Economy / Tax Base,0.30,Full Value Per Capita,0.333,full_value_per_capita,CensusACS|CountyAssessor|CreditScope
Economy / Tax Base,Economy / Tax Base,0.30,Enrollment Trend,0.334,enrollment_cagr,IPEDS|CreditScope|AnnualReport
Financial Performance,Financial Performance,0.30,Available Fund Balance Ratio,0.667,available_fund_balance_ratio,ACFR|CreditScope
Financial Performance,Financial Performance,0.30,Net Cash / Operating Revenue,0.333,net_cash_to_operating_revenue,ACFR|CreditScope
Institutional Framework,Institutional Framework,0.10,Institutional Framework Rating,1.000,institutional_framework_rating,Manual
Debt / Pensions,Debt / Pensions,0.20,Long-Term Liabilities Ratio,0.667,long_term_liabilities_ratio,CreditScope|ACFR|MoodysPensionWorkbook
Debt / Pensions,Debt / Pensions,0.20,Fixed Costs Ratio,0.333,fixed_cost_ratio,ACFR|CreditScope
